tt_id,rl_id,movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office
tt0760187,rl4168582657,The Tripper,4,2007,None,97,Comedy Horror,R,50,20840,20840
tt6451304,rl2013627905,Have a Nice Day,1,2018,None,77,Animation Comedy Crime Drama,None,15,10463,79393
tt0466893,rl1633912321,Margaret,9,2011,14000000,150,Drama Mystery,R,14,7525,46495
tt1410063,rl626165249,The Flowers of War,1,2012,None,146,Drama History Romance War,R,30,48448,311434
tt4721124,rl1426294273,The Exception,6,2017,None,107,Drama Romance War,R,48,21351,708973
tt1091751,rl979076609,The Longshots,8,2008,None,94,Biography Comedy Drama Family Sport,PG,2089,4080687,11537046
tt3721936,rl780109313,American Honey,9,2016,None,163,Adventure Drama Romance,R,135,71203,663246
tt1517252,rl1047889409,Sweetgrass,1,2010,None,101,Adventure Documentary Western,None,9,9870,207473
tt5639354,rl2667742721,A Fantastic Woman,2,2018,None,104,Drama,R,190,64241,2020988
tt1211956,rl1064797697,Escape Plan,10,2013,None,115,Action Thriller,R,2883,9885732,25135965
tt1640718,rl778733057,Kahlil Gibran's The Prophet,8,2015,None,85,Animation Drama,PG,37,27435,355343
tt6513120,rl1577420289,Fighting with My Family,2,2019,11000000,108,Biography Comedy Drama Sport,PG-13,2855,138780,22958886
tt3735554,rl3662841345,Freetown,4,2015,None,113,Action Drama Thriller War,PG-13,124,118553,401328
tt0436728,rl2540471809,Romántico,11,2006,None,80,Documentary,None,5,2808,29460
tt0301199,rl2437907969,Dirty Pretty Things,7,2003,None,97,Crime Drama Thriller,R,493,100512,8112414
tt1091225,rl2756806145,Emma Smith: My Story,4,2008,None,98,Biography Drama History,PG,42,94959,881787
tt2936174,rl2876868097,Visitors,1,2014,None,87,Documentary,None,13,9094,84577
tt0499549,rl893748737,Avatar,8,2010,237000000,162,Action Adventure Fantasy Sci-Fi,PG-13,812,4007750,10741486
tt1821694,rl2087552513,RED 2,7,2013,84000000,116,Action Comedy Crime Thriller,PG-13,3016,18048422,53262560
tt0476995,rl2522056193,Firehouse Dog,4,2007,None,111,Action Comedy Family,PG,2881,3838916,13932383
tt1232207,rl3110241793,Capitalism: A Love Story,9,2009,20000000,127,Crime Documentary History,R,995,231964,14363397
tt0342508,rl626427393,Hangman's Curse,9,2003,2000000,106,Horror Mystery Thriller,PG-13,18,78084,168406
tt0261066,rl2506655233,Piñero,12,2001,None,103,Biography Drama,R,21,21750,275171
tt0273253,rl3562505729,Haiku Tunnel,9,2001,None,88,Comedy,R,14,None,92723
tt0490210,rl2825881089,Sarkar Raj,6,2008,None,125,Action Crime Drama,None,70,642523,1009065
tt0974554,rl1565623809,Elegy,8,2008,None,112,Drama Romance,R,142,104168,3581642
tt6135348,rl956466689,120 BPM,10,2017,None,143,Drama,None,20,8566,125189
tt0419766,rl3159721473,Garçon stupide,9,2005,None,94,Comedy Drama Romance,None,4,17195,151702
tt0311320,rl3829892609,Blind Spot. Hitler's Secretary,1,2003,None,90,Biography Documentary War,PG,12,9216,378382
tt1564367,rl2456520193,Just Go with It,2,2011,80000000,117,Comedy Romance,PG-13,3548,30514732,103028109
tt1650062,rl2255652353,Super 8,6,2011,50000000,112,Action Mystery Sci-Fi Thriller,PG-13,3424,35451168,127004179
tt0424774,rl3916334593,The Adventures of Sharkboy and Lavagirl 3-D,6,2005,None,93,Action Adventure Comedy Family Fantasy Sci-Fi,PG,2655,12500000,39177684
tt8095860,rl3976758785,By the Grace of God,10,2019,None,137,Crime Drama,None,11,7765,67059
tt0439544,rl2471462401,Dirty,1,2006,3000000,97,Crime Thriller,R,35,95521,274245
tt1075417,rl2540340737,Race to Witch Mountain,3,2009,None,98,Action Adventure Family Fantasy Sci-Fi Thriller,PG,3268,24402214,67172594
tt9497146,rl3087631873,Mobile Suit Gundam: NT - Narrative,2,2019,None,88,Action Animation Drama Sci-Fi,None,449,None,259224
tt1090634,rl306284033,The 13th Alley,6,2008,None,81,Horror,R,72,112946,250992
tt3717532,rl2908718593,The Last: Naruto the Movie,2,2015,None,112,Action Adventure Animation Drama Romance,None,34,179370,524451
tt0328962,rl2706015745,Comedian,10,2002,None,82,Comedy Documentary,None,244,60224,2751988
tt1050739,rl1852605953,Roadside Romeo,10,2008,None,93,Adventure Animation Comedy Family Fantasy Music Musical Romance,None,29,41770,55202
tt0224578,rl1719240193,The Vertical Ray of the Sun,7,2001,None,112,Drama,PG-13,9,32248,110134
tt11376890,rl2231797249,The Grateful Dead Meet-Up 2018,4,2018,None,180,Documentary Music,None,504,None,600554
tt1204773,rl22054401,Everyone Else,4,2010,None,119,Drama Romance,None,5,10810,102042
tt1341188,rl341673473,How Do You Know,12,2010,120000000,121,Comedy Drama Romance,PG-13,2483,7484696,30212620
tt0169102,rl459245057,Lagaan: Once Upon a Time in India,5,2002,None,224,Drama Musical Sport,PG,5,10736,73276
tt2057392,rl2608629249,Eye in the Sky,3,2016,None,102,Action Drama Thriller War,R,1089,113803,18704595
tt0251075,rl1984988673,Evolution,6,2001,80000000,101,Comedy Sci-Fi,PG-13,2613,13408351,38345494
tt24132176,rl3114894081,King Coal,8,2023,None,80,Documentary,None,None,None,54051
tt0463985,rl676562433,The Fast and the Furious: Tokyo Drift,6,2006,None,104,Action Crime Thriller,PG-13,3030,23973840,62514415
tt0795368,rl4182541825,Death at a Funeral,8,2007,9000000,90,Comedy,R,324,1282973,8580428
tt1663207,rl2942207489,Life of Crime,8,2014,None,98,Comedy Crime,R,37,104300,265452
tt0289054,rl729318913,Warm Water Under a Red Bridge,5,2002,None,119,Comedy Drama Fantasy Romance,None,4,None,71094
tt0480025,rl1450477057,This Is England,7,2007,None,101,Crime Drama,None,14,18430,329379
tt2368635,rl1296532993,Bird People,9,2014,None,127,Drama Fantasy Romance,None,7,7443,32111
tt1270286,rl209159681,To Save a Life,1,2010,500000,120,Drama,PG-13,441,1581517,3777210
tt0350258,rl695043585,Ray,10,2004,40000000,152,Biography Drama Music,PG-13,2474,20039730,75331600
tt1981677,rl3949495809,Pitch Perfect,9,2012,17000000,112,Comedy Music Romance,PG-13,2787,5149433,65001093
tt4943322,rl3456206337,The Ottoman Lieutenant,3,2017,None,106,Drama War,R,216,149830,240978
tt9282616,rl84313601,A Cool Fish,11,2018,None,109,Comedy Crime Drama,None,36,71187,551876
tt4633036,rl788628993,Generation Found,8,2016,None,85,Documentary,None,22,None,151751
tt2568472,rl56788481,Mercedes Sosa: The Voice of Latin America,1,2014,None,90,Documentary Music,None,1,1415,2648
tt0283003,rl2104722945,Spun,3,2003,None,101,Comedy Crime Drama,R,24,15160,411119
tt0363058,rl1299088897,The Settlers,1,2002,None,58,Documentary,None,1,None,14556
tt5595240,rl41846273,Kaptaan,5,2016,None,142,Comedy Drama Family Music,None,29,109993,203790
tt0264150,rl1316587009,View from the Top,3,2003,None,87,Comedy Romance,PG-13,2508,7600000,15614000
tt1698654,rl3414132225,Catching the Sun,4,2016,None,75,Documentary Drama History News,None,14,None,38613
tt0314331,rl3798042113,Love Actually,11,2003,40000000,135,Comedy Drama Romance,R,1714,6886080,59696144
tt0403893,rl3245573633,Still We Believe: The Boston Red Sox Movie,5,2004,None,110,Documentary Sport,PG,54,91388,396803
tt1596345,rl1063814657,Pawn Sacrifice,9,2015,None,115,Biography Drama History Sport Thriller,PG-13,781,202053,2436633
tt1588875,rl3193472513,How I Ended This Summer,2,2011,None,130,Drama,None,1,4968,8733
tt0039631,rl1952810497,Monsieur Verdoux,3,2008,None,124,Comedy Crime Drama,None,2,None,64636
tt0237572,rl862684673,The Pledge,1,2001,35000000,124,Crime Drama Mystery Thriller,R,1410,5765347,19733089
tt7605074,rl1510573569,The Wandering Earth,2,2019,None,125,Action Adventure Sci-Fi Thriller,None,129,1685287,5971413
tt0259484,rl1298761217,Paid in Full,10,2002,None,97,Action Crime Drama,R,273,1328789,3090862
tt2073016,rl778667521,The Other Son,10,2012,None,105,Drama,PG-13,53,125691,1285918
tt6529772,rl940148225,Never Heard,11,2018,None,89,Drama Family,None,445,None,105271
tt8178634,rl881033985,RRR Fan CelebRRRation,3,2023,None,187,Action Adventure Drama,None,283,197003,256566
tt0823219,rl694322689,Meeting Resistance,10,2007,None,84,Documentary,None,2,7712,20616
tt1440266,rl2473100801,Pina,12,2011,None,103,Documentary Music,PG,84,68012,3524826
tt1622547,rl3007415809,30 Minutes or Less,8,2011,28000000,83,Action Comedy Crime,R,2888,13330118,37053924
tt2345737,rl4000089601,The Rover,6,2014,12000000,103,Action Crime Drama Sci-Fi,R,608,69302,1114423
tt8399690,rl2718664193,Anthropocene: The Human Epoch,9,2019,None,87,Documentary,None,110,16038,104806
tt1326733,rl2537719297,The Art of the Steal,2,2010,None,101,Documentary,None,34,39019,544890
tt21867590,rl1643217665,The Sparring Partner,12,2022,None,138,Crime Drama,None,13,56766,210187
tt2365580,rl2567276033,Where'd You Go Bernadette,8,2019,None,109,Comedy Crime Drama Mystery,PG-13,2404,3462308,9198356
tt0465502,rl307987969,Igor,9,2008,25000000,87,Animation Comedy Family Fantasy Horror Sci-Fi,PG,2341,7803347,19528602
tt1346961,rl407995905,The Eclipse,3,2010,3000000,88,Drama Horror Romance,R,12,13207,133411
tt2395427,rl675644929,Avengers: Age of Ultron,5,2015,250000000,141,Action Adventure Sci-Fi,PG-13,4276,191271109,459005868
tt0804492,rl2069399041,The Hottie & the Nottie,2,2008,None,91,Comedy Romance,PG-13,111,27696,27696
tt0211465,rl4166813185,Knockaround Guys,10,2002,None,92,Crime Drama Thriller,R,1806,5016852,11715637
tt5247704,rl3372385793,Back to Burgundy,3,2018,None,113,Comedy Drama,None,18,15157,257610
tt0410454,rl209356289,The Work and the Glory,11,2004,7500000,118,Drama Romance,PG,112,251145,3347647
tt0356159,rl1062831617,Hellbent,9,2005,None,84,Horror Thriller,R,11,45047,183066
tt0369294,rl1616676353,Killer Diller,4,2006,None,95,Drama Music,PG-13,32,17346,20795
tt1609113,rl3310388737,Farmageddon,6,2011,None,86,Documentary News,None,7,2699,56573
tt0486578,rl4099114497,First Sunday,1,2008,None,98,Comedy Crime Drama,PG-13,2213,17714821,37931869
tt0319343,rl1263633921,Elf,11,2003,33000000,97,Adventure Comedy Family Fantasy Romance,PG,3381,32100000,173398518
tt7388562,rl1275233793,Paul Apostle of Christ,3,2018,5000000,108,Adventure Biography Drama History,PG-13,1473,5172585,17560475
tt0233469,rl1347061249,Collateral Damage,2,2002,85000000,108,Action Drama Thriller,R,2824,15058432,40077257
tt2178470,rl2960819713,Yeh Jawaani Hai Deewani,5,2013,None,160,Comedy Drama Musical Romance,None,161,1568677,3827466
tt3205376,rl1014007297,Slow West,5,2015,None,84,Action Adventure Drama Romance Thriller Western,R,54,67003,229094
tt0313911,rl2755692033,Agent Cody Banks,3,2003,28000000,102,Action Adventure Comedy Crime Family Romance Thriller,PG,3369,14064317,47938330
tt0300556,rl4067722753,Timeline,11,2003,80000000,116,Action Adventure Sci-Fi War,PG-13,2787,8440629,19481943
tt0813391,rl2490664449,Tibet: A Buddhist Trilogy,3,2006,None,134,Documentary,None,8,6596,47243
tt0303714,rl4182083073,Barbershop,9,2002,12000000,102,Comedy Drama,PG-13,2176,20627433,75782105
tt4193400,rl1098810881,The People Vs. Fritz Bauer,8,2016,None,105,Biography Drama Thriller,R,35,33781,288483
tt0243135,rl5670401,Happenstance,11,2001,None,90,Comedy Drama Romance,None,7,8777,251444
tt1995390,rl4101998081,Our Kind of Traitor,7,2016,None,108,Action Crime Drama Thriller,R,399,984698,3153157
tt10132048,rl3993536001,Blink of an Eye,9,2019,None,88,Documentary Sport,None,517,None,201874
tt13923456,rl646087425,Mafia Mamma,4,2023,None,101,Action Comedy Crime,R,2002,2032202,3496761
tt21807222,rl1926595329,Saw X,9,2023,None,118,Horror Mystery Thriller,R,3262,18309301,53607898
tt2363471,rl2557642241,The Summit,10,2013,None,95,Documentary,R,70,20904,243550
tt1974382,rl3984426497,The Challenger,9,2015,None,95,Drama Sport,PG-13,28,12246,19003
tt0866439,rl1180730881,Made of Honor,5,2008,40000000,101,Comedy Romance,PG-13,2816,14756850,46012734
tt2387433,rl88901121,Dark Skies,2,2013,3500000,97,Horror Sci-Fi Thriller,PG-13,2313,8189166,17418667
tt6674514,rl1376093697,Kangaroo,1,2018,None,103,Documentary,None,2,2282,4547
tt2357926,rl3681191425,Ramaiya Vastavaiya,7,2013,None,148,Action Drama Romance,None,67,52514,80108
tt0364045,rl1517651457,Taking Lives,3,2004,45000000,103,Crime Mystery Thriller,R,2705,11458465,32682342
tt0437863,rl3041166849,The Benchwarmers,4,2006,33000000,85,Comedy Sport,PG-13,3282,19656429,59843754
tt1499201,rl893552129,Anjaana Anjaani,10,2010,None,151,Comedy Drama Musical Romance,None,91,517608,854757
tt0405393,rl3547104769,Rudo y Cursi,5,2009,None,106,Comedy Drama Sport,R,219,211460,1827660
tt0393735,rl2356053505,The Shaggy Dog,3,2006,None,98,Comedy Family Fantasy,PG,3501,16310058,61123569
tt1265990,rl4201416193,The Roommate,2,2011,16000000,94,Drama Horror Thriller,None,2534,15002635,37300000
tt2960450,rl1582663169,The Galapagos Affair: Satan Came to Eden,4,2014,None,120,Biography Crime Documentary History Mystery,None,15,5185,247159
tt21374850,rl1290568449,All the Beauty and the Bloodshed,11,2022,None,113,Documentary,None,48,28803,500082
tt0060545,rl310347265,I Knew Her Well,2,2016,None,115,Drama,None,1,9312,18010
tt0257568,rl3546121729,Kangaroo Jack,1,2003,60000000,89,Action Adventure Comedy Crime Family,None,2848,16580209,66934963
tt0377088,rl2405467649,Mail Order Wife,3,2005,None,92,Comedy,R,5,14643,62387
tt0448134,rl2406647297,Sunshine,7,2007,None,107,Sci-Fi Thriller,R,461,242964,3675753
tt1389127,rl678725121,Texas Killing Fields,10,2011,None,105,Crime Drama History Thriller,R,10,8772,45469
tt3716530,rl125732353,Elle,11,2016,None,130,Crime Drama Thriller,R,209,50934,2341534
tt3283556,rl1885308417,Land Ho!,7,2014,None,95,Adventure Comedy,R,73,34319,727594
tt10622260,rl452756225,Roll with It,5,2023,None,115,Comedy,None,725,220505,757981
tt2002718,rl1566606849,Machete Kills,10,2013,None,107,Action Comedy Crime Thriller,R,2538,3837183,8008161
tt1340107,rl3947136513,In a Better World,4,2011,5500000,118,Drama Romance,R,51,33058,1008098
tt4143508,rl0230913,Long Strange Trip,5,2017,None,238,Biography Documentary Music,R,56,33272,351957
tt1064861,rl2910619137,On War,11,2015,None,130,Comedy Drama War,None,2,2210,5086
tt1714886,rl1584104961,Post Mortem,4,2012,None,98,Drama,None,1,2406,9750
tt2948356,rl4031743489,Zootopia,3,2016,None,108,Action Adventure Animation Comedy Crime Family Mystery,PG,3959,75063401,341268248
tt4190530,rl1367246337,Anthropoid,8,2016,None,120,Action Drama History Romance Thriller War,R,452,1233519,2964845
tt1234548,rl140674561,The Men Who Stare at Goats,11,2009,25000000,94,Comedy War,R,2453,12706654,32428195
tt0375104,rl2101773825,Bobby Jones: Stroke of Genius,4,2004,20000000,123,Biography Drama Romance Sport,PG,1332,1233297,2694071
tt1046947,rl1398769153,Last Chance Harvey,12,2008,None,93,Drama Romance,PG-13,1108,97260,14889042
tt1087527,rl3715597825,Trucker,10,2009,None,90,Drama,R,13,9458,52429
tt0800081,rl2874836481,I Trust You to Kill Me,9,2006,None,105,Documentary Music,R,1,5888,12854
tt8879946,rl1779009025,Maiden,6,2019,None,97,Biography Documentary Sport,PG,180,46931,3168978
tt2267968,rl3546056193,Kung Fu Panda 3,1,2016,145000000,95,Action Adventure Animation Comedy Family Fantasy,PG,3987,41282042,143528619
tt6495770,rl2382398977,Action Point,6,2018,19000000,85,Comedy,R,2032,2390164,5059608
tt4838334,rl2910750209,The Fight Within,8,2016,None,94,Action Romance Sport,PG-13,103,57124,94326
tt10192676,rl1141278209,DCI 2019: Big Loud & Live 16,8,2018,None,325,Documentary,None,639,None,603320
tt0437407,rl4167665153,Parineeta,6,2005,None,130,Drama Musical Romance,None,50,201956,802758
tt3164198,rl2990900737,Ballet 422,2,2015,None,75,Documentary Music Sport,PG,27,27653,333554
tt0443431,rl339904001,Another Gay Movie,7,2006,None,92,Comedy Romance,None,20,33316,654132
tt0335563,rl612009473,Wonderland,10,2003,None,104,Crime Drama Mystery Thriller,R,195,91798,1060512
tt2024469,rl2691139073,Non-Stop,2,2014,50000000,106,Action Mystery Thriller,PG-13,3183,28875635,92168600
tt1772240,rl1631749633,Apollo 18,9,2011,5000000,86,Horror Mystery Sci-Fi Thriller,PG-13,3330,8704271,17687709
tt2869728,rl678200833,Ride Along 2,1,2016,40000000,102,Action Comedy Crime,PG-13,3192,35243095,91221830
tt1536048,rl2692253185,W.E.,2,2012,None,119,Drama History Romance,R,24,47074,583455
tt14390304,rl2862383873,Millie Lies Low,6,2023,None,100,Comedy Drama,None,3,855,11265
tt0255055,rl1129022977,China: The Panda Adventure,6,2001,None,48,Drama,None,21,None,3921642
tt2058673,rl577472001,Point Break,12,2015,105000000,114,Action Adventure Crime Sport Thriller,PG-13,2910,9800252,28782481
tt0291350,rl520848897,Millennium Actress,8,2019,None,87,Animation Drama Fantasy Romance,PG,512,None,225250
tt0089881,rl293570049,Ran,2,2016,11500000,160,Action Drama War,None,5,11462,66097
tt0163025,rl3210577409,Jurassic Park III,7,2001,93000000,92,Action Adventure Sci-Fi Thriller,PG-13,3462,50771645,181171875
tt1287468,rl2387117569,Cats & Dogs: The Revenge of Kitty Galore,7,2010,85000000,82,Action Comedy Family Fantasy,PG,3705,12279363,43585753
tt2488496,rl2691925505,Star Wars: Episode VII - The Force Awakens,12,2015,245000000,138,Action Adventure Sci-Fi,PG-13,4134,247966675,936662225
tt1606829,rl896108033,The Other Dream Team,9,2012,None,89,Documentary Sport,None,14,19821,135228
tt2066051,rl4261709313,Rocketman,5,2019,40000000,121,Biography Drama Music Musical,R,3610,25725722,96368160
tt15301000,rl344752897,Biosphere,7,2023,None,106,Comedy Drama Fantasy Mystery Romance Sci-Fi,None,48,33805,60149
tt0884732,rl761038337,The Wedding Ringer,1,2015,23000000,101,Comedy Romance,R,3003,20649306,64460211
tt0358647,rl3110831617,Power Trip,12,2003,None,86,Documentary,None,3,None,39359
tt0309622,rl2908063233,The Gatekeeper,4,2003,None,103,Drama,R,3,None,312434
tt0297181,rl3109717505,I Spy,11,2002,70000000,97,Action Adventure Comedy Thriller,PG-13,3182,12752803,33561137
tt1152836,rl40535553,Public Enemies,7,2009,100000000,140,Action Biography Crime Drama History,R,3336,25271675,97104620
tt1652287,rl2873198081,35 and Ticking,5,2011,None,104,Comedy Romance,R,6,29808,113794
tt1708135,rl1040221697,13 Minutes,6,2017,None,114,Biography Drama War,R,19,11750,161531
tt1613750,rl4116481537,Kon-Tiki,4,2013,None,118,Adventure Biography Drama History,PG-13,75,22168,1517410
tt0078748,rl3460335105,Alien,10,2003,11000000,117,Horror Sci-Fi,R,347,1023665,1986910
tt5241356,rl1023444481,The Freedom to Marry,3,2017,None,86,Documentary,None,3,6142,16611
tt3254796,rl1917289985,Big Stone Gap,10,2015,None,103,Comedy Family Mystery Romance,PG-13,280,362422,1009301
tt0443698,rl2826667521,William Eggleston in the Real World,8,2005,None,86,Biography Documentary,None,2,6820,44435
tt1075636,rl1028032001,Blood Ties,2,2011,20000,93,Action,None,1,2760,2760
tt0378194,rl2119992833,Kill Bill: Vol. 2,4,2004,30000000,137,Action Crime Thriller,R,3073,25600000,66208183
tt0268040,rl528123393,Wooly Boys,1,2004,None,99,Comedy,PG,7,49374,335726
tt0289879,rl3511256577,The Butterfly Effect,1,2004,13000000,113,Drama Sci-Fi Thriller,R,2605,17100000,57938693
,rl3808855553,Sailor Moon R: The Movie: The Promise of the Rose/Sailor Moon S: The Movie - Hearts in Ice,7,2018,None,121,None,None,621,173199,335697
tt2025690,rl2605942273,The Finest Hours,1,2016,None,117,Action Drama History Thriller,PG-13,3143,10288932,27569558
tt0496328,rl2606401025,Itty Bitty Titty Committee,9,2007,None,87,Comedy Drama Romance,None,2,11505,18445
tt1186370,rl24348161,Spread,8,2009,None,97,Comedy Drama Romance,R,103,122948,250618
tt0348505,rl3997337089,Asylum,8,2005,None,99,Drama Romance Thriller,R,55,36272,375403
tt1477834,rl3108800001,Aquaman,12,2018,None,143,Action Adventure Fantasy Sci-Fi,PG-13,4184,67873522,335061807
tt0206963,rl2036631041,My First Mister,10,2001,5250000,109,Comedy Drama Romance,R,103,102456,568762
tt1547234,rl2724955649,Premium Rush,8,2012,35000000,91,Action Crime Thriller,PG-13,2255,6030164,20275446
tt0841925,rl1601275393,Silent Light,1,2009,None,145,Drama Romance,None,1,11967,60200
tt2292903,rl3698099713,Rubberneck,2,2013,None,83,Drama Thriller,None,1,2075,2075
